Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jordan Henderson\Jordan-Henderson,eng ENG,MF,24,37,36,3256,6,9,1,1,6,0,0.17,0.25,0.41,0.14,0.39,Matches
Simon Mignolet\Simon-Mignolet,be BEL,GK,26,36,35,3225,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Raheem Sterling\Raheem-Sterling,eng ENG,FWMF,19,35,34,3045,7,7,0,0,5,0,0.21,0.21,0.41,0.21,0.41,Matches
Martin Škrtel\Martin-Skrtel,sk SVK,DF,29,33,33,2970,1,0,0,0,8,0,0.03,0.00,0.03,0.03,0.03,Matches
Philippe Coutinho\Philippe-Coutinho,br BRA,FWMF,22,35,32,2792,5,5,0,0,3,0,0.16,0.16,0.32,0.16,0.32,Matches
Alberto Moreno\Alberto-Moreno,es ESP,DFMF,22,28,26,2254,2,0,0,0,6,0,0.08,0.00,0.08,0.08,0.08,Matches
Steven Gerrard\Steven-Gerrard,eng ENG,MF,34,29,25,2236,9,1,4,5,7,1,0.36,0.04,0.40,0.20,0.24,Matches
Emre Can\Emre-Can,de GER,DFMF,20,27,23,2065,1,0,0,0,3,1,0.04,0.00,0.04,0.04,0.04,Matches
Adam Lallana\Adam-Lallana,eng ENG,FWMF,26,27,23,1779,5,3,0,0,4,0,0.25,0.15,0.40,0.25,0.40,Matches
Dejan Lovren\Dejan-Lovren,hr CRO,DF,25,26,22,2037,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Joe Allen\Joe-Allen,wal WAL,MF,24,21,16,1470,1,0,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches
Lucas Leiva\Lucas-Leiva,br BRA,MF,27,20,16,1313,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,24,16,15,1419,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Glen Johnson\Glen-Johnson,eng ENG,DF,29,19,15,1332,1,0,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
Lazar Marković\Lazar-Markovic,rs SRB,FWMF,20,19,11,934,2,1,0,0,0,0,0.19,0.10,0.29,0.19,0.29,Matches
Mario Balotelli\Mario-Balotelli,it ITA,FW,23,16,10,939,1,0,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches
Javier Manquillo\Javier-Manquillo,es ESP,DF,20,10,10,759,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Rickie Lambert\Rickie-Lambert,eng ENG,FW,32,25,7,839,2,2,0,0,2,0,0.21,0.21,0.43,0.21,0.43,Matches
Daniel Sturridge\Daniel-Sturridge,eng ENG,FWMF,24,12,7,752,4,1,0,0,0,0,0.48,0.12,0.60,0.48,0.60,Matches
Kolo Touré\Kolo-Toure,ci CIV,DF,33,11,7,667,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jordon Ibe\Jordon-Ibe,eng ENG,FWMF,18,12,7,617,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Fabio Borini\Fabio-Borini,it ITA,FWMF,23,12,3,397,1,1,0,0,2,1,0.23,0.23,0.45,0.23,0.45,Matches
Brad Jones\Brad-Jones,au AUS,GK,32,3,3,195,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
José Enrique\Jose-Enrique,es ESP,DF,28,4,2,205,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jerome Sinclair\Jerome-Sinclair,eng ENG,FW,17,2,0,27,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Cameron Brannagan\Cameron-Brannagan,eng ENG,MF,18,0,0,,,,,,,,,,,,,Matches
Sheyi Ojo\Sheyi-Ojo,eng ENG,FWMF,17,0,0,,,,,,,,,,,,,Matches
Jordan Rossiter\Jordan-Rossiter,eng ENG,MF,17,0,0,,,,,,,,,,,,,Matches
Suso\Suso,es ESP,FWMF,20,0,0,,,,,,,,,,,,,Matches
Danny Ward\Danny-Ward,wal WAL,GK,21,0,0,,,,,,,,,,,,,Matches
Jordan Williams\Jordan-Williams,wal WAL,MF,18,0,0,,,,,,,,,,,,,Matches
