Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,28,38,38,3420,5,1,0,0,1,0,0.13,0.03,0.16,0.13,0.16,2.9,2.9,1.3,0.08,0.03,0.11,0.08,0.11,Matches
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,20,38,35,3175,4,13,0,0,5,0,0.11,0.37,0.48,0.11,0.48,2.8,2.8,9.9,0.08,0.28,0.36,0.08,0.36,Matches
Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,28,37,35,2935,4,0,0,0,0,0,0.12,0.00,0.12,0.12,0.12,3.1,3.1,1.2,0.09,0.04,0.13,0.09,0.13,Matches
Andrew Robertson\Andrew-Robertson,sco SCO,DF,25,36,34,3111,2,12,0,0,2,0,0.06,0.35,0.41,0.06,0.41,1.6,1.6,7.6,0.05,0.22,0.27,0.05,0.27,Matches
Roberto Firmino\Roberto-Firmino,br BRA,FW,27,38,34,2988,9,8,0,0,0,0,0.27,0.24,0.51,0.27,0.51,13.5,13.5,6.3,0.41,0.19,0.59,0.41,0.59,Matches
Mohamed Salah\Mohamed-Salah,eg EGY,FW,27,34,33,2876,19,10,3,3,1,0,0.59,0.31,0.91,0.50,0.81,19.4,17.2,7.3,0.61,0.23,0.84,0.54,0.76,Matches
Sadio Mané\Sadio-Mane,sn SEN,FW,27,35,31,2747,18,7,0,0,3,0,0.59,0.23,0.82,0.59,0.82,13.8,13.8,7.3,0.45,0.24,0.69,0.45,0.69,Matches
Alisson\Alisson,br BRA,GK,26,29,29,2543,0,1,0,0,0,1,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.5,0.00,0.02,0.02,0.00,0.02,Matches
Jordan Henderson\Jordan-Henderson,eng ENG,MF,29,30,26,2238,4,5,0,0,2,0,0.16,0.20,0.36,0.16,0.36,1.4,1.4,2.8,0.06,0.11,0.17,0.06,0.17,Matches
Fabinho\Fabinho,br BRA,MF,25,28,22,2079,2,3,0,0,6,0,0.09,0.13,0.22,0.09,0.22,0.4,0.4,1.8,0.02,0.08,0.09,0.02,0.09,Matches
Joe Gomez\Joe-Gomez,eng ENG,DF,22,28,22,2004,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.01,0.01,0.00,0.01,Matches
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,25,30,17,1485,4,1,0,0,1,0,0.24,0.06,0.30,0.24,0.30,2.9,2.9,1.2,0.17,0.08,0.25,0.17,0.25,Matches
James Milner\James-Milner,eng ENG,MFDF,33,22,9,937,2,2,2,2,4,0,0.19,0.19,0.38,0.00,0.19,2.1,0.6,0.7,0.20,0.07,0.27,0.06,0.12,Matches
Adrián\Adrian,es ESP,GK,32,11,9,875,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Naby Keïta\Naby-Keita,gn GUI,MF,24,18,9,815,2,3,0,0,1,0,0.22,0.33,0.55,0.22,0.55,1.5,1.5,2.3,0.17,0.26,0.43,0.17,0.43,Matches
Dejan Lovren\Dejan-Lovren,hr CRO,DF,30,10,9,777,0,1,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.3,0.3,0.4,0.03,0.04,0.07,0.03,0.07,Matches
Joël Matip\Joel-Matip,cm CMR,DF,27,9,8,703,1,0,0,0,0,0,0.13,0.00,0.13,0.13,0.13,0.3,0.3,0.0,0.04,0.00,0.04,0.04,0.04,Matches
Divock Origi\Divock-Origi,be BEL,FW,24,28,7,717,4,1,0,0,1,0,0.50,0.13,0.63,0.50,0.63,2.2,2.2,0.2,0.28,0.03,0.30,0.28,0.30,Matches
Adam Lallana\Adam-Lallana,eng ENG,MFFW,31,15,3,382,1,1,0,0,1,0,0.24,0.24,0.47,0.24,0.47,1.1,1.1,0.7,0.25,0.16,0.41,0.25,0.41,Matches
