Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Joe Hart\Joe-Hart,eng ENG,GK,28,35,35,3109,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Fernandinho\Fernandinho,br BRA,MF,30,33,31,2729,2,2,0,0,8,0,0.07,0.07,0.13,0.07,0.13,Matches
Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,27,30,30,2671,1,0,0,0,9,0,0.03,0.00,0.03,0.03,0.03,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,27,30,29,2360,24,2,4,5,1,0,0.92,0.08,0.99,0.76,0.84,Matches
Yaya Touré\Yaya-Toure,ci CIV,MF,32,32,28,2325,6,5,1,1,3,0,0.23,0.19,0.43,0.19,0.39,Matches
Bacary Sagna\Bacary-Sagna,fr FRA,DF,32,28,27,2448,0,3,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches
Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,29,29,25,2283,3,3,0,1,3,0,0.12,0.12,0.24,0.12,0.24,Matches
Jesús Navas\Jesus-Navas,es ESP,MF,29,34,24,2282,0,7,0,0,1,0,0.00,0.28,0.28,0.00,0.28,Matches
Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,24,23,23,2009,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
Raheem Sterling\Raheem-Sterling,eng ENG,MF,20,31,23,1920,6,2,0,0,1,0,0.28,0.09,0.37,0.28,0.37,Matches
Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,24,25,22,2002,7,9,0,0,2,0,0.31,0.40,0.72,0.31,0.72,Matches
David Silva\David-Silva,es ESP,MF,29,24,22,1791,2,11,0,0,1,0,0.10,0.55,0.65,0.10,0.65,Matches
Fernando\Fernando,br BRA,MF,28,24,17,1715,2,0,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches
Wilfried Bony\Wilfried-Bony,ci CIV,FW,26,26,13,1226,4,3,0,1,1,0,0.29,0.22,0.51,0.29,0.51,Matches
Vincent Kompany\Vincent-Kompany,be BEL,DF,29,14,13,1179,2,0,0,0,5,0,0.15,0.00,0.15,0.15,0.15,Matches
Gaël Clichy\Gael-Clichy,fr FRA,DF,30,14,12,1087,0,1,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches
Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,30,13,12,1062,0,1,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches
Martín Demichelis\Martin-Demichelis,ar ARG,DF,34,20,10,1021,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Fabian Delph\Fabian-Delph,eng ENG,MF,25,17,8,753,2,0,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches
Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FWMF,18,26,7,766,8,1,0,0,1,0,0.94,0.12,1.06,0.94,1.06,Matches
Samir Nasri\Samir-Nasri,fr FRA,MFFW,28,12,4,541,2,2,0,0,3,0,0.33,0.33,0.67,0.33,0.67,Matches
Willy Caballero\Willy-Caballero,ar ARG,GK,33,4,3,311,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bersant Celina\Bersant-Celina,xk KVX,FWMF,18,1,0,14,0,1,0,0,0,0,0.00,6.43,6.43,0.00,6.43,Matches
Manu García\Manu-Garcia,es ESP,FWMF,17,1,0,11,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Patrick Roberts\Patrick-Roberts,eng ENG,FWMF,18,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Angeliño\Angelino,es ESP,DFMF,18,0,0,,,,,,,,,,,,,Matches
Brandon Barker\Brandon-Barker,eng ENG,MF,18,0,0,,,,,,,,,,,,,Matches
Jason Denayer\Jason-Denayer,be BEL,DF,20,0,0,,,,,,,,,,,,,Matches
George Evans\George-Evans,eng ENG,MF,20,0,0,,,,,,,,,,,,,Matches
Aleix García\Aleix-Garcia,es ESP,MF,18,0,0,,,,,,,,,,,,,Matches
James Horsfield\James-Horsfield,eng ENG,DFMF,19,0,0,,,,,,,,,,,,,Matches
Cameron Humphreys\Cameron-Humphreys,eng ENG,DF,16,0,0,,,,,,,,,,,,,Matches
Pablo Maffeo\Pablo-Maffeo,es ESP,DFMF,18,0,0,,,,,,,,,,,,,Matches
Richard Wright\Richard-Wright,eng ENG,GK,37,0,0,,,,,,,,,,,,,Matches
