Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Ederson\Ederson,br BRA,GK,24,38,38,3420,0,1,0,0,2,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.3,0.00,0.01,0.01,0.00,0.01,Matches
Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,24,35,34,3057,3,3,0,0,3,0,0.09,0.09,0.18,0.09,0.18,2.2,2.2,1.1,0.06,0.03,0.10,0.06,0.10,Matches
Bernardo Silva\Bernardo-Silva,pt POR,MFFW,23,36,31,2854,7,7,0,0,3,0,0.22,0.22,0.44,0.22,0.44,6.5,6.5,7.4,0.21,0.23,0.44,0.21,0.44,Matches
Raheem Sterling\Raheem-Sterling,eng ENG,FW,23,34,31,2771,17,9,0,0,3,0,0.55,0.29,0.84,0.55,0.84,13.1,13.1,9.2,0.43,0.30,0.73,0.43,0.73,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,30,33,31,2459,21,8,2,2,4,0,0.77,0.29,1.06,0.70,0.99,20.7,19.2,5.5,0.76,0.20,0.96,0.70,0.91,Matches
Kyle Walker\Kyle-Walker,eng ENG,DF,28,33,30,2779,1,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,1.7,0.02,0.05,0.08,0.02,0.08,Matches
David Silva\David-Silva,es ESP,MF,32,33,28,2401,6,8,0,0,2,0,0.22,0.30,0.52,0.22,0.52,6.9,6.9,9.0,0.26,0.34,0.60,0.26,0.60,Matches
Fernandinho\Fernandinho,br BRA,MF,33,29,27,2377,1,3,0,0,5,0,0.04,0.11,0.15,0.04,0.15,1.9,1.9,2.9,0.07,0.11,0.18,0.07,0.18,Matches
İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,27,31,23,2137,6,3,0,0,3,0,0.25,0.13,0.38,0.25,0.38,3.6,3.6,4.1,0.15,0.17,0.32,0.15,0.32,Matches
Leroy Sané\Leroy-Sane,de GER,FW,22,31,21,1867,10,10,0,0,1,0,0.48,0.48,0.96,0.48,0.96,6.0,6.0,6.6,0.29,0.32,0.61,0.29,0.61,Matches
John Stones\John-Stones,eng ENG,DF,24,24,20,1764,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.01,0.01,0.02,0.01,0.02,Matches
Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,27,27,14,1343,7,4,0,1,0,0,0.47,0.27,0.74,0.47,0.74,5.6,4.8,4.1,0.38,0.28,0.65,0.32,0.60,Matches
Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,30,18,14,1236,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.2,0.09,0.01,0.10,0.09,0.10,Matches
Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,21,14,14,1151,0,3,0,0,1,0,0.00,0.23,0.23,0.00,0.23,0.1,0.1,1.3,0.01,0.10,0.11,0.01,0.11,Matches
Vincent Kompany\Vincent-Kompany,be BEL,DF,32,17,13,1224,1,0,0,0,6,0,0.07,0.00,0.07,0.07,0.07,0.2,0.2,0.1,0.01,0.01,0.02,0.01,0.02,Matches
Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,27,19,11,975,2,2,0,0,2,0,0.18,0.18,0.37,0.18,0.37,2.1,2.1,3.5,0.20,0.32,0.52,0.20,0.52,Matches
Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,24,10,10,900,0,5,0,0,1,0,0.00,0.50,0.50,0.00,0.50,0.2,0.2,1.3,0.02,0.13,0.15,0.02,0.15,Matches
Danilo\Danilo,br BRA,DF,27,11,9,807,1,0,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.5,0.5,0.3,0.05,0.04,0.09,0.05,0.09,Matches
Gabriel Jesus\Gabriel-Jesus,br BRA,FW,21,29,8,1036,7,3,1,1,1,0,0.61,0.26,0.87,0.52,0.78,9.2,8.4,1.7,0.80,0.15,0.95,0.73,0.88,Matches
Fabian Delph\Fabian-Delph,eng ENG,DF,28,11,8,725,0,1,0,0,1,1,0.00,0.12,0.12,0.00,0.12,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05,Matches
Phil Foden\Phil-Foden,eng ENG,MF,18,13,3,335,1,0,0,0,0,0,0.27,0.00,0.27,0.27,0.27,2.5,2.5,0.6,0.67,0.16,0.83,0.67,0.83,Matches
Claudio Bravo\Claudio-Bravo,cl CHI,GK,35,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Arijanet Muric\Arijanet-Muric,xk KVX,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Philippe Sandler\Philippe-Sandler,nl NED,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,Matches
