Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Nemanja Vidić\Nemanja-Vidic,rs SRB,DF,28,35,35,3116,5,1,0,0,7,1,0.14,0.03,0.17,0.14,0.17,Matches
Patrice Evra\Patrice-Evra,fr FRA,DF,29,35,34,2957,1,0,0,0,1,0,0.03,0.00,0.03,0.03,0.03,Matches
Edwin van der Sar\Edwin-van-der-Sar,nl NED,GK,39,33,33,2970,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Nani\Nani,pt POR,FWMF,23,33,31,2659,9,14,0,1,1,0,0.30,0.47,0.78,0.30,0.78,Matches
Wayne Rooney\Wayne-Rooney,eng ENG,FWMF,24,28,25,2225,11,11,3,4,5,0,0.44,0.44,0.89,0.32,0.77,Matches
Dimitar Berbatov\Dimitar-Berbatov,bg BUL,FW,29,32,24,2208,20,4,0,0,1,0,0.82,0.16,0.98,0.82,0.98,Matches
Darren Fletcher\Darren-Fletcher,sco SCO,MF,26,26,24,2109,2,5,0,0,3,0,0.09,0.21,0.30,0.09,0.30,Matches
Michael Carrick\Michael-Carrick,eng ENG,MF,29,28,23,1972,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rio Ferdinand\Rio-Ferdinand,eng ENG,DF,31,19,19,1710,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ryan Giggs\Ryan-Giggs,wal WAL,FWMF,36,25,19,1676,2,7,0,0,5,0,0.11,0.38,0.48,0.11,0.48,Matches
John O'Shea\John-OShea,ie IRL,DFMF,29,20,18,1541,0,2,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches
Paul Scholes\Paul-Scholes,eng ENG,MF,35,22,16,1537,1,4,0,0,9,0,0.06,0.23,0.29,0.06,0.29,Matches
Javier Hernández\Javier-Hernandez,mx MEX,FW,22,27,15,1492,13,1,0,0,5,0,0.78,0.06,0.84,0.78,0.84,Matches
Rafael\Rafael,br BRA,DFMF,20,16,15,1198,0,1,0,0,3,1,0.00,0.08,0.08,0.00,0.08,Matches
Anderson\Anderson,br BRA,MF,22,18,14,1182,1,3,0,0,2,0,0.08,0.23,0.30,0.08,0.30,Matches
Park Ji-sung\Park-Ji-sung,kr KOR,MF,29,15,13,1080,5,3,0,0,1,0,0.42,0.25,0.67,0.42,0.67,Matches
Chris Smalling\Chris-Smalling,eng ENG,DF,20,16,11,1086,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jonny Evans\Jonny-Evans,nir NIR,DF,22,13,11,1005,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Antonio Valencia\Antonio-Valencia,ec ECU,DFMF,24,10,8,742,1,2,0,0,1,0,0.12,0.24,0.36,0.12,0.36,Matches
Darron Gibson\Darron-Gibson,ie IRL,MF,22,12,6,656,0,1,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matches
Fábio\Fabio,br BRA,DF,20,11,5,559,1,0,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches
Tomasz Kuszczak\Tomasz-Kuszczak,pl POL,GK,28,5,5,450,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Wes Brown\Wes-Brown,eng ENG,DF,30,7,4,429,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Gabriel Obertan\Gabriel-Obertan,fr FRA,FWMF,21,7,3,284,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gary Neville\Gary-Neville,eng ENG,DF,35,3,3,205,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Federico Macheda\Federico-Macheda,it ITA,FW,18,7,2,220,1,0,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches
Michael Owen\Michael-Owen,eng ENG,FW,30,11,1,238,2,0,0,0,1,0,0.76,0.00,0.76,0.76,0.76,Matches
Owen Hargreaves\Owen-Hargreaves,eng ENG,MF,29,1,1,9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bebé\Bebe,pt POR,FWMF,20,2,0,75,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
