Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Chris Smalling\Chris-Smalling,eng ENG,DF,25,35,35,3150,0,1,0,0,8,0,0.00,0.03,0.03,0.00,0.03,Matches
Daley Blind\Daley-Blind,nl NED,DF,25,35,35,3114,1,1,0,0,2,0,0.03,0.03,0.06,0.03,0.06,Matches
David de Gea\David-de-Gea,es ESP,GK,24,34,34,3060,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Juan Mata\Juan-Mata,es ESP,MF,27,38,34,2889,6,5,1,1,5,1,0.19,0.16,0.34,0.16,0.31,Matches
Anthony Martial\Anthony-Martial,fr FRA,MFFW,19,31,29,2632,11,4,0,0,2,0,0.38,0.14,0.51,0.38,0.51,Matches
Wayne Rooney\Wayne-Rooney,eng ENG,FWMF,29,28,27,2406,8,6,1,1,4,0,0.30,0.22,0.52,0.26,0.49,Matches
Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,25,29,25,2205,1,0,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches
Matteo Darmian\Matteo-Darmian,it ITA,DF,25,28,24,1924,1,0,0,0,8,0,0.05,0.00,0.05,0.05,0.05,Matches
Michael Carrick\Michael-Carrick,eng ENG,MF,34,28,22,1972,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Jesse Lingard\Jesse-Lingard,eng ENG,MF,22,25,19,1632,4,1,0,0,4,0,0.22,0.06,0.28,0.22,0.28,Matches
Ander Herrera\Ander-Herrera,es ESP,MF,25,27,17,1532,3,2,1,1,4,0,0.18,0.12,0.29,0.12,0.23,Matches
Memphis Depay\Memphis-Depay,nl NED,MF,21,29,16,1484,2,0,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches
Marcos Rojo\Marcos-Rojo,ar ARG,DF,25,16,15,1249,0,1,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
Bastian Schweinsteiger\Bastian-Schweinsteiger,de GER,MF,30,18,13,1202,1,0,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches
Marouane Fellaini\Marouane-Fellaini,be BEL,MF,27,18,12,1068,1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
Ashley Young\Ashley-Young,eng ENG,DFMF,30,18,11,1065,1,2,0,0,5,0,0.08,0.17,0.25,0.08,0.25,Matches
Marcus Rashford\Marcus-Rashford,eng ENG,FW,17,11,11,855,5,2,0,0,0,0,0.53,0.21,0.74,0.53,0.74,Matches
Antonio Valencia\Antonio-Valencia,ec ECU,DF,29,14,8,857,0,3,0,0,1,0,0.00,0.32,0.32,0.00,0.32,Matches
Cameron Borthwick-Jackson\Cameron-Borthwick-Jackson,eng ENG,DF,18,10,6,695,0,1,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches
Phil Jones\Phil-Jones,eng ENG,DF,23,10,6,530,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Luke Shaw\Luke-Shaw,eng ENG,DF,20,5,5,450,0,1,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches
Sergio Romero\Sergio-Romero,ar ARG,GK,28,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Guillermo Varela\Guillermo-Varela,uy URU,DF,22,4,3,315,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Paddy McNair\Paddy-McNair,nir NIR,DF,20,8,3,314,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,17,8,2,257,0,1,0,0,1,0,0.00,0.35,0.35,0.00,0.35,Matches
Adnan Januzaj\Adnan-Januzaj,be BEL,MF,20,5,2,145,1,0,0,0,1,0,0.62,0.00,0.62,0.62,0.62,Matches
Andreas Pereira\Andreas-Pereira,br BRA,MF,19,4,0,84,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Donald Love\Donald-Love,sco SCO,DFMF,20,1,0,54,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Javier Hernández\Javier-Hernandez,mx MEX,FW,27,1,0,24,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nick Powell\Nick-Powell,eng ENG,MF,21,1,0,17,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
James Wilson\James-Wilson,eng ENG,FW,19,1,0,9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Will Keane\Will-Keane,eng ENG,FW,22,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
James Weir\James-Weir,eng ENG,MF,19,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sean Goss\Sean-Goss,eng ENG,MF,19,0,0,,,,,,,,,,,,,Matches
Sam Johnstone\Sam-Johnstone,eng ENG,GK,22,0,0,,,,,,,,,,,,,Matches
Joe Riley\Joe-Riley,eng ENG,DF,18,0,0,,,,,,,,,,,,,Matches
Joe Rothwell\Joe-Rothwell,eng ENG,MF,20,0,0,,,,,,,,,,,,,Matches
Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,17,0,0,,,,,,,,,,,,,Matches
