Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
David de Gea\David-de-Gea,es ESP,GK,26,37,37,3330,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
Nemanja Matić\Nemanja-Matic,rs SRB,MF,28,36,35,3118,1,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,1.8,0.02,0.05,0.07,0.02,0.07,Matches
Romelu Lukaku\Romelu-Lukaku,be BEL,FW,24,34,33,2867,16,7,0,1,4,0,0.50,0.22,0.72,0.50,0.72,13.6,12.9,5.0,0.43,0.16,0.59,0.40,0.56,Matches
Antonio Valencia\Antonio-Valencia,ec ECU,DF,31,31,31,2740,3,1,0,0,7,0,0.10,0.03,0.13,0.10,0.13,0.5,0.5,1.8,0.02,0.06,0.07,0.02,0.07,Matches
Chris Smalling\Chris-Smalling,eng ENG,DF,27,29,28,2536,4,0,0,0,4,0,0.14,0.00,0.14,0.14,0.14,3.2,3.2,0.5,0.11,0.02,0.13,0.11,0.13,Matches
Ashley Young\Ashley-Young,eng ENG,DF,32,30,28,2442,2,4,0,0,7,0,0.07,0.15,0.22,0.07,0.22,0.8,0.8,3.0,0.03,0.11,0.14,0.03,0.14,Matches
Paul Pogba\Paul-Pogba,fr FRA,MF,24,27,25,2148,6,10,0,0,5,1,0.25,0.42,0.67,0.25,0.67,6.5,6.5,3.9,0.27,0.16,0.44,0.27,0.44,Matches
Phil Jones\Phil-Jones,eng ENG,DF,25,23,23,1973,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.02,0.00,0.02,0.02,0.02,Matches
Juan Mata\Juan-Mata,es ESP,FWMF,29,28,23,1922,3,5,0,0,1,0,0.14,0.23,0.37,0.14,0.37,3.0,3.0,4.5,0.14,0.21,0.35,0.14,0.35,Matches
Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,24,33,20,1817,8,5,0,0,2,0,0.40,0.25,0.64,0.40,0.64,7.7,7.7,3.0,0.38,0.15,0.53,0.38,0.53,Matches
Anthony Martial\Anthony-Martial,fr FRA,FWMF,21,30,18,1582,9,5,1,1,1,0,0.51,0.28,0.80,0.46,0.74,6.8,6.0,5.1,0.38,0.29,0.67,0.34,0.63,Matches
Marcus Rashford\Marcus-Rashford,eng ENG,FWMF,19,35,17,1813,7,5,0,0,3,0,0.35,0.25,0.60,0.35,0.60,4.5,4.5,4.5,0.22,0.23,0.45,0.22,0.45,Matches
